,학년,학기,낱말,빈도수,품사
0,1,1,봅시다,595,Verb
1,1,1,말,421,Noun
2,1,1,해,414,Noun
3,1,1,친구,164,Noun
4,1,1,붙임,154,Verb
5,1,1,쪽,152,Noun
6,1,1,문장,152,Noun
7,1,1,그림,151,Noun
8,1,1,일,151,Noun
9,1,1,생각,136,Noun
10,1,1,써,133,Verb
11,1,1,나,125,Noun
12,1,1,무엇,123,Noun
13,1,1,글,123,Noun
14,1,1,것,123,Noun
15,1,1,읽어,116,Verb
16,1,1,를,109,Noun
17,1,1,때,107,Noun
18,1,1,국어,106,Noun
19,1,1,활용,101,Noun
20,1,1,글자,99,Noun
21,1,1,잘,97,Verb
22,1,1,사람,97,Noun
23,1,1,다,95,Adverb
24,1,1,어떤,91,Adjective
25,1,1,할,89,Verb
26,1,1,수,86,Noun
27,1,1,알맞은,85,Adjective
28,1,1,찾아,85,Verb
29,1,1,소리,84,Noun
30,1,1,이,84,Noun
31,1,1,하기,83,Verb
32,1,1,확인,83,Noun
33,1,1,딱지,81,Noun
34,1,1,곳,81,Noun
35,1,1,하는,81,Verb
36,1,1,읽고,80,Verb
37,1,1,날,80,Noun
38,1,1,의,80,Noun
39,1,1,목소리,80,Noun
40,1,1,요,78,Noun
41,1,1,모음,78,Noun
42,1,1,낱말,77,Noun
43,1,1,보세요,76,Verb
44,1,1,있는,76,Adjective
45,1,1,이름,72,Noun
46,1,1,선,72,Noun
47,1,1,공부,72,Noun
48,1,1,내,72,Noun
49,1,1,자음,70,Noun
50,1,1,따라,69,Verb
51,1,1,기본,65,Noun
52,1,1,우리,65,Noun
53,1,1,보고,65,Noun
54,1,1,한,65,Verb
55,1,1,책,64,Noun
56,1,1,점,64,Noun
57,1,1,가지,63,Noun
58,1,1,놀이,62,Noun
59,1,1,가,59,Verb
60,1,1,자신,58,Noun
61,1,1,일기,58,Noun
62,1,1,하며,57,Verb
63,1,1,사,57,Noun
64,1,1,보기,56,Noun
65,1,1,모양,54,Noun
66,1,1,겪은,54,Verb
67,1,1,알,53,Noun
68,1,1,있는지,52,Adjective
69,1,1,알아봅시다,52,Verb
70,1,2,인물,52,Noun
71,1,2,예시,52,Noun
72,1,2,답안,52,Noun
73,1,1,선생님,51,Noun
74,1,1,이야기,51,Noun
75,1,1,기분,50,Noun
76,1,1,바르게,49,Noun
77,1,1,느낌,49,Noun
78,1,2,국활,49,Noun
79,1,1,함께,48,Adverb
80,1,1,인사,48,Noun
81,1,1,방법,48,Noun
82,1,1,내용,48,Noun
83,1,2,오전,48,Noun
84,1,1,알기,47,Verb
85,1,1,자,46,Noun
86,1,1,표,46,Noun
87,1,1,여러,46,Noun
88,1,1,받침,46,Noun
89,1,1,활동,44,Noun
90,1,1,띄어,44,Verb
91,1,1,월,43,Noun
92,1,1,부호,43,Noun
93,1,1,어떻게,42,Adjective
94,1,1,안,42,Noun
95,1,1,하,42,Exclamation
96,1,1,하세요,41,Verb
97,1,2,행동,41,Noun
98,1,2,용,41,Noun
99,1,1,입니다,40,Adjective
100,1,1,설명,40,Noun
101,1,2,흉내,40,Noun
102,1,2,붙이는,40,Verb
103,1,1,고운,39,Adjective
104,1,1,내어,39,Verb
105,1,1,읽기,39,Verb
106,1,1,아,39,Exclamation
107,1,1,모두,39,Noun
108,1,1,있습니다,39,Adjective
109,1,1,하고,38,Verb
110,1,1,해요,38,Noun
111,1,1,아빠,38,Noun
112,1,1,했어요,38,Verb
113,1,1,쓰기,37,Noun
114,1,1,동물,37,Noun
115,1,1,아저씨,36,Noun
116,1,1,자세,35,Noun
117,1,1,더,35,Noun
118,1,1,여우,35,Noun
119,1,1,집,35,Noun
120,1,1,세,35,Noun
121,1,1,봐요,34,Verb
122,1,2,내는,34,Verb
123,1,1,와,33,Verb
124,1,1,표현,33,Noun
125,1,2,붉은,33,Adjective
126,1,1,준비,32,Noun
127,1,1,그,32,Noun
128,1,1,했나요,32,Verb
129,1,1,마음,31,Noun
130,1,1,이어,31,Verb
131,1,1,니,31,Noun
132,1,1,만들어,31,Verb
133,1,1,들어,31,Verb
134,1,1,제목,31,Noun
135,1,1,어디,31,Noun
136,1,1,앞,31,Noun
137,1,1,합니다,31,Verb
138,1,1,장면,31,Noun
139,1,1,누구,31,Noun
140,1,2,따,31,Verb
141,1,1,지,30,Verb
142,1,1,기,30,Noun
143,1,1,리,30,Noun
144,1,1,모습,29,Noun
145,1,1,바른,28,Verb
146,1,1,너,28,Noun
147,1,1,두,28,Noun
148,1,2,소년,28,Noun
149,1,2,뜯,28,Verb
150,1,1,하여,27,Verb
151,1,1,나무,26,Noun
152,1,1,정리,26,Noun
153,1,1,토끼,26,Noun
154,1,1,아침,26,Noun
155,1,1,한다,26,Verb
156,1,1,속,26,Noun
157,1,1,함,26,Noun
158,1,1,까닭,25,Noun
159,1,1,누가,25,Noun
160,1,1,드러나게,25,Verb
161,1,1,살펴봅시다,24,Verb
162,1,1,사용,24,Noun
163,1,1,거,24,Noun
164,1,1,참,24,Verb
165,1,1,듣고,24,Verb
166,1,1,아이,24,Noun
167,1,1,노래,24,Noun
168,1,1,호랑이,24,Noun
169,1,1,해야,24,Verb
170,1,1,큰,24,Verb
171,1,1,나무꾼,24,Noun
172,1,1,복실,24,Noun
173,1,1,날씨,24,Noun
174,1,1,있었던,24,Adjective
175,1,1,가족,23,Noun
176,1,1,찾아봅시다,23,Verb
177,1,1,물건,23,Noun
178,1,1,카드,23,Noun
179,1,1,고,23,Noun
180,1,1,과,23,Noun
181,1,1,서,23,Verb
182,1,1,왜,23,Noun
183,1,1,떠올려,23,Verb
184,1,1,하는지,23,Verb
185,1,1,써요,23,Verb
186,1,1,같이,22,Adverb
187,1,1,쓴,22,Verb
188,1,1,위,22,Noun
189,1,1,골라,22,Verb
190,1,1,인사말,22,Noun
191,1,1,물,22,Noun
192,1,1,공,22,Noun
193,1,1,형님,22,Noun
194,1,2,박쥐,22,Noun
195,1,2,양치기,22,Noun
196,1,1,실천,21,Noun
197,1,1,지우개,21,Noun
198,1,1,자라,21,Noun
199,1,1,있어요,21,Adjective
200,1,1,네,21,Noun
201,1,1,어울리는,21,Verb
202,1,1,정말,21,Noun
203,1,2,하면,21,Verb
204,1,1,마,20,Noun
205,1,1,싶은,20,Verb
206,1,1,시간,20,Noun
207,1,1,여기,20,Noun
208,1,2,읽었나요,20,Verb
209,1,2,늑대,20,Noun
210,1,1,듣는,19,Verb
211,1,1,배울까,19,Verb
212,1,1,바르고,19,Verb
213,1,1,아기,19,Noun
214,1,1,쓸,19,Verb
215,1,1,다음,19,Noun
216,1,1,새,19,Noun
217,1,1,학교,19,Noun
218,1,1,넣어,19,Verb
219,1,1,그때,19,Noun
220,1,1,다른,19,Noun
221,1,1,습,19,Noun
222,1,1,상상,19,Noun
223,1,1,읽어요,19,Verb
224,1,1,또,19,Noun
225,1,1,된,19,Verb
226,1,1,비,18,Noun
227,1,1,개,18,Noun
228,1,1,바,18,Noun
229,1,1,구,18,Noun
230,1,1,주시,18,Noun
231,1,1,짝,18,Noun
232,1,1,주머니,18,Noun
233,1,1,개미,18,Noun
234,1,1,파리,18,Noun
235,1,1,배,18,Noun
236,1,1,안녕,18,Noun
237,1,1,언제,18,Noun
238,1,1,엄마,18,Noun
239,1,1,강아지,18,Noun
240,1,2,부족하다면,18,Adjective
241,1,2,나게,18,Verb
242,1,1,읽는,17,Verb
243,1,1,읽을,17,Verb
244,1,1,노루,17,Noun
245,1,1,마리,17,Noun
246,1,1,저,17,Noun
247,1,1,부분,17,Noun
248,1,1,답,17,Noun
249,1,1,했는지,17,Verb
250,1,1,입,17,Noun
251,1,1,다시,17,Noun
252,1,1,달팽이,17,Noun
253,1,1,는,17,Verb
254,1,1,끝,17,Noun
255,1,1,하지,17,Verb
256,1,2,떠올리며,17,Verb
257,1,2,보통,17,Noun
258,1,2,적,17,Noun
259,1,2,붙여,17,Verb
260,1,1,아버지,16,Noun
261,1,1,무,16,Noun
262,1,1,차,16,Noun
263,1,1,원숭이,16,Noun
264,1,1,맞게,16,Verb
265,1,1,귀,16,Noun
266,1,1,물음,16,Noun
267,1,1,등,16,Noun
268,1,1,뭐,16,Noun
269,1,1,줄,16,Noun
270,1,1,대,16,Verb
271,1,1,하늘,16,Noun
272,1,1,가장,16,Noun
273,1,1,옷,16,Noun
274,1,2,표지판,16,Noun
275,1,2,읽어야,16,Verb
276,1,1,쓰고,15,Verb
277,1,1,길,15,Noun
278,1,1,사자,15,Noun
279,1,1,누나,15,Noun
280,1,1,손,15,Noun
281,1,1,선물,15,Noun
282,1,1,모,15,Noun
283,1,1,있,15,Adjective
284,1,1,마을,15,Noun
285,1,1,놀,15,Noun
286,1,1,작은,15,Adjective
287,1,2,활,15,Noun
288,1,2,살려,15,Verb
289,1,2,임,15,Noun
290,1,1,대화,14,Noun
